(D)1. 下列何者非行政程序法第一條之立法目的？
(A) 行政程序之申請人
(B) 行政程序申請人之相對人
(C) 因行政程序影響其公、私法上權利或法律上利益之人
(D) 行政程序中之證人

(C)124. 依據行政程序法規定，有關行政機關資訊公開之敘述，下列何者正確？
(A) 當事人得申請閱覽公務機關擬辦之簽陳
(B) 行政機關對於當事人之申請，一概不得拒絕
(C) 公務員在行政程序中>不得與當事人為行政程序外之接觸
(D) 行政機關對於涉及個人隱私之資料，不得拒絕提供給當事人閱覽

(C)125. 公務員在行政程序中，除基於職務上之必要外，不得與當事人或代表其利益之人為何種接觸？
(A) 聽證會
(B) 現場勘驗
(C) 行政程序外
(D) 為調查證據通知陳述意見L102年北區國稅局】

(B)126. 關於行政程序法上的資訊公開，下列說明何者錯誤？
(A) 公務員與當事人或代表其利益之人為行政程序外之接觸時，應將所有往來之書面文件附卷，並對其他當事人公開
(B) 利害關係人不得向行政機關申請閱覽'抄寫、複印或攝影有關資料或卷宗
(C) 當事人申請閱覽行政決定前之擬稿或其他準備作業文件，行政機關得拒絕之
(D) 當事人申請閱覽之資訊，如涉及個人隱私、職業秘密、營業秘密，依法規有保密之必要者，應拒絕之

(B)127. 關於行政程序法之資訊公開規定，下列敘述何者錯誤？
(A) 行政機關委託私人行使公權力時，委託之事項及法規依據應對外公開，並刊登政府公報及新聞紙
(B) 行政規則應下達下級機關或屬官，無須登載於政府公報發布
(C) 行政程序法所定之閱覽卷宗，以主張或維護法律上利益有必要作為前提
(D) 行政程序終結後、法定救濟期間經過前，行政程序當事人均得依據行政程序法申請閲覽卷宗

(D)128. 依行政程序法規定，關於公務員在行政程序中之行為，下列何者正確？
(A) 除基於公共利益之必要外，不得與當事人為程序外之接觸
(B) 若與當事人為程序外之接觸，僅須將往來文件附卷即可
(C) 程序外接觸之書面，基於個人資料保護理由，不得對其他當事人公開
(D) 若以言詞與當事人為程序外接觸時，應作成書面紀錄，並對其他當事人公開

(A)129. 下列有關期日、期間之敘述，何者正確？
(A) 原則上，期間以日、星期、月或年計算者，其始日不計算在內
(B) 期間之末日為星期日、國定假日或其他休息日者，以該日之當日為期間之末日
(C) 原則上，期間涉及人民之處罰或其他不利行政處分者，其始日不計算在內
(D) 以月或年定期間，而於最後之月無相當日者，以其次月之首日為期間之末日

(D)130. 依行政程序法規定，期日期間之計算，下列何者錯誤？
(A) 以時計算者，即時起算
(B) 以日、星期、月或年計算者，其始日不算入
(C) 期間之末日為星期日、國定假日、或其他休息日者，以該日之次日為期間之末日
(D) 期間之末日為星期六者，以其次星期一下午為期間之末日

(D)131. 依行政程序法規定，停止營業20日之行政處分，其20日應如何計算？
(A) 其始日不計算在內，其末日為星期日、國定假日或其他休息日者，以該日之次日為期間之末日
(B) 其始日不計算在內，其末日為星期日、國定假日或其他休息日者，照計
(C) 其始日不計時刻以1日論，其末日為星期日、國定假日或其他休息日者，以該日之次日為期間之末日
(D) 其始日不計時刻以1日論，其末日為星期日、國定假日或其他休息日者，照計

(C)132. 依據行政程序法規定，有關期日與期間之敘述，下列何者正確？
(A) 期間以日、星期'月或年計算者-其始日計算在內
(B) 基於法規之申請，以掛號郵寄方式向行政機關提出者，以行政機關收文日為準
(C) 期間以時計算者，即時起算
(D) 期間涉及人民之處罰者，其始日不計算在內CH2年北區國稅局】

(D)133. 依|行政程序法第48條1規定，下列何者錯誤？
(A) 期間以時計算者，即時起算
(B) 期間以日、星期、月或年計算者，其始日不計算在內
(C) 期間不以星期、月或年之始日起算者，以最後之星期、月或年與起算日相當日之前一日為期間之末日
(D) 期間之末日為星期日、國定假日或其他休息日者，以該日之次日為期間之末日；期間之末日為星期六者，以其次星期一下午為期間末日

(D)134. 依行政程序法規定，基於法規之申請，而以掛號郵寄方式向行政機關提出者，以.何者為計算申請提出日之基準？
(A) 郵件到達行政機關之日期
(B) 行政機關收發室收受之日期
(C) 行政機關承辦人員收受之日期
(D) 交郵當日之郵戳上所蓋之日期

(C)135. 依據行政程序法規定，因天災或其他不應歸責於申請人之事由，致基於法規之申請不能於法定期間內提出者，得於其原因消滅後十日內，申請：
(A) 停止執行
(B) 保全措施
(C) 回復原狀
(D) 暫時處置

(B)136. 依行政程序法規定，有關申請回復原狀，下列敘述何者錯誤？
(A) 遲誤法定期間已逾一年者，不得申請回復原狀
(B) 法定期間已逾一年者，仍得申請回復原狀
(C) 因天災或其他不應歸責於申請人之事由，得於其原因消滅後十日內，申請回復原狀
(D) 申請回復原狀，應同時補行期間內應為之行政程序行為

(A)137. 行政機關對於人民依法申請未訂定處理期間者，其處理期間”除行政機關依法延長外，原則上為多久？
(A) 2個月
(B) 3個月
(C) 4個月
(D) 6個月

(B)138. 各行政機關對於人民依法規申請事件，未訂有處理期間者，依據行政程序法規定1其處理期間為何？
(A) l個月
(B) 2個月
(C) 3個月
(D) 6個月［109年身心障礙四等特考】

(B)139. 行政機關對於人民依法規之申請，除法規另有規定外，應按各事項類別，訂定處理期間公告之。如未依此規定訂定處理期間者，其處理期間至遲為多久？
(A) 一個月
(B) 二個月
(C) 三個月
(D) 四個月

(A)140. 行政程序所生之費用，原則上應由誰負擔？
(A) 行政機關
(B) 事件之當事人
(C) 視該費用之數額而定
(D) 視該行政行為之情況，依個案而決定

(D)141. 有關行政程序所生費用之負擔，下列敘述何者正確？
(A) 均由行政機關負擔，包括專為當事人利益所支出之費用
(B) 因可歸責於當事人或利害關係人之事由，致程序有顯著之延滯者，其因延滯所生之費用，仍由行政機關負擔
(C) 證人或鑑定人得向行政機關請求法定之日費及旅費，但鑑定人不得請求相當之報酬
(D) 行政程序所生費用及報酬，得請求行政機關預行酌給之

(D)142. 依據行政程序法規定，有關行政程序費用之敘述，下列何者正確？
(A) 行政程序所生之費用，由當事人負擔
(B) 證人僅得向行政機關請求法定之日費
(C) 證人法定日費之標準，由內政部定之
(D) 專為當事人利益所支岀之費用，非行政機關負擔範圍

(D)143. 關於行政程序法有關費用規定之敘述，下列何者錯誤？
(A) 可歸責於當事人之事由，致程序有顯著之延滯者，延滯所生費用由當事人負擔
(B) 專為當事人或利害關係人利益所支出之費用，由其自行負擔
(C) 證人或鑑定人得向行政機關請求法定之日費與旅費
(D) 鑑定人得向行政機關請求相當之報酬，但不得預行酌給之

(C)144. 行政機關舉行聽證前，應以書面記載各項事項，並通知當事人及其他已知之利害關係人，必要時並公告之，而下列何者並非屬於上述各項事項？
(A) 聽證之事由與依據
(B) 當事人之姓名或名稱及其住居所'事務所或營業所
(C) 當事人之財產狀況與所屬政黨
(D) 聽證之期日及場所

(C)145. 依據行政程序法規定，下列何者非行政機關舉行聽證前應以書面記載之事項？
(A) 聽證之事由及依據
(B) 聽證之主要程序
(C) 當事人之親屬關係
(D) 當事人之住居所

(B)146. 依據行政程序法規定，有關行政機關舉行聽證之敘述，下列何者錯誤？
(A) 認為必要時，得於聽證期日前，舉行預備聽證
(B) 如當事人有申請，行政機關即應依申請變更聽證期日或場所
(C) 由行政機關首長或其指定人員為主持人
(D) 除法律另有規定外>應公開以言詞為之

(A)147. 依行政程序法第57條規定，臺北市政府舉行聽證時，原則上以下列何者為主持人？
(A) 臺北市長或其指定人員
(B) 臺北市政府人事處長或其指定人員
(C) 行政院內政部指派人員
(D) 臺北市律師公會理事長

(D)148. 依行政程序法之規定，何種情形「應」舉行公開聽證？
(A) 法規命令之訂定
(B) 限制人民自由之行政處分
(C) 重大行政契約之訂定
(D) 設置重大公共設施之行政計畫，且涉及多數不同利益之人及不同行政機關權限者，

(B)149. 有關聽證之規定，下列敘述何者錯誤？
(A) 聽證以主持人說明案由為始
(B) 聽證以秘密為原則，公開為例外
(C) 主持人應本中立公正之立場主持聽證
(D) 聽證應做成聽證紀錄

(C)150. 依行政程序法規定，聽證程序自何時開始，於何時终結？
(A) 當事人提出聽證申請開始；行政機關就該事件作成決定即屬終結
(B) 以主持人就事實或法律問題詢問當事人或其他到場人開始；待所有問答均結束後即終結
(C) 從聽證主持人說明案由開始；待當事人充分陳述意見'事件已達可為決定之程度者，即應終結
(D) 上級機關核准進行聽證開始；將聽證紀錄呈報上級機關時終結

(A)151. 當事人於聽證時，下列何者並非其具有之權利？
(A) 得請求言詞辯論並交互詰問
(B) 得陳述意見
(C) 得提出證據
(D) 經主持人同意後並得對機關指定之人員、證人等發問

(B)152. 關於聽證程序踐行之效力等敘述，下列何者錯誤？
(A) 法律明文規定應舉行聽證作成決定，而未舉行者，該決定得撤銷
(B) 聽證程序中，當事人認為主持人所為之處置違法時得提起抗告
(C) 當事人對經聽證程序作成之行政處分不服者，得直接提起行政訴訟救濟
(D) 聽證得由行政機關首長擔任主持人

(B)153. 關於行政程序法中聽證程序之敘述，下列何者錯誤？
(A) 舉行聽證應作成聽證紀錄
(B) 作成限制或剝奪自由之行政處分前應經聽證程序
(C) 對經聽證程序作行政處分不服者依法免除訴願及其先行程序
(D) 行政機關舉行聽證前應以書面通知當事人及其他已知利害關係人

(A)154. 依行政程序法之規定，關於聽證之敘述，下列何者錯誤？
(A) 當事人於聽證時，得陳述意見、提出證據及逕行詢問證人
(B) 主持人應本中立公正之立場，主持聽證
(C) 有妨害聽證程序而情節重大者，主持人得命其退場
(D) 當事人認為主特人於聽證程序進行中所為之處置違法或不當者，得即時聲明異議

(D)155. 有關行政程序中之聽證，下列敘述何者錯誤？
(A) 聽證必要時得由律師在場協助之
(B) 除法律另有規定外，聽證應公開以言詞為之
(C) 經聽證作成行政處分，當事人不服而提起行政救濟時，免除訴願及其先行程序
(D) 行政程序之當事人申請舉行聽證時，行政機關除法律另有規定外，不得拒絕之

(A)156. 依行政程序法之規定，關於聽證之敘述，下列何者錯誤？
(A) 當事人於聽證時，得陳述意見、提出證據及逕行詢問證人
(B) 主持人應本中立公正之立場，主持聽證
(C) 有妨害聽證程序而情節重大者，主持人得命其退場
(D) 當事人認為主持人於聽證程序進行中所為之處置違法或不當者，得即時聲明異議

(A)157. 依|行政程序法第68條1規定，行政機關之文書依法規以電報交換、電傳文件、傳真或其他電子文件行之者，視為什麼送達？
(A) 自行送達
(B) 公示送達
(C) 寄存送達
(D) 電信送達

(C)158. 所謂「送達」，係指依照法律規定的方式，將文書送到應受送達人手上，常見的送達方式為：甲、本人送達；乙、留置送達；丙、補充送達；丁、寄存送達。請問下列何者為依行政程序法所為之正確送達適用順序？
(A) 甲>丁>乙>丙
(B) 甲>乙>丙>丁
(C) 甲>丙>乙>丁
(D) 甲>丙>丁>乙

(D)159. 以下關於送達之敘述，何者錯誤？
(A) 於應受送達人之住居所、事務所或營業所為之
(B) 若在行政機關辦公處所或他處會晤應受送達人時，亦得於會晤處所為之
(C) 對於機關、法人、非法人之團體之代表人或管理人為送達者'應向其機關所在地、事務所或營業所行之
(D) 對於無行政程序之行為能力人為送達，若其法定代理人有二人，則對該二人均應送達，否則無效

(B)160. 應受送達人無正當理由拒絕受領送達文書時，依行政程序法之規定，應將文書做何種處理？
(A) 退回原機關
(B) 留置於應受送達處所
(C) 公示送達
(D) 刊登新聞紙以代替送達

(A)161. 依照行政程序法規定，於應受送達處所不獲會晤應受送達人時，將文書付與有辨別事理能力之同居人者，為何種送達方法？
(A) 補充送達
(B) 囑託送達
(C) 寄存送達
(D) 留置送達

(B)162. 依行政程序法規定，於應送達處所不獲會晤應受送達人時，得將文書交付何者？
(A) 鄰居
(B) 受雇人
(C) 其有智能障礙之三歲女兒
(D) 來訪之朋友

(D)163. 行政處分書於應送達處所不獲會晤應受送達人時，得將文書付與該行政處分相對人之大厦管理員，並蓋章收執，此種情形稱為下列何種送達？
(A) 一般送達
(B) 留置送達
(C) 寄存送達
(D) 補充送達

(A)164. 行政程序法之寄存送達，應自何時發生送達效力？
(A) 寄存送達完畢時
(B) 自寄存之日起，經10日發生效力
(C) 寄存機關保存期滿日之翌日
(D) 自應受送達人實際領取時

(D)165. 行政機關對於不特定人之送達，得以何種方式為之？
(A) 寄存送達
(B) 留置送達
(C) 補充送達
(D) 公告送達

(C)166. 依行政程序法規定，行政機關對不特定人送達方式之敘述，下列何者錯誤？
(A) 公告
(B) 刊登政府公報
(C) 寄存地方自治機關
(D) 刊登新聞紙

(A)167. 行政程序法第75條規定行政機關對於不特定人之送達，得何種方式為之，下列何者為非？
(A) 寄存送達
(B) 公告
(C) 刊登政府公報
(D) 刊登新聞紙

(C)168. 根據行政程序法之規定，下列何種事由，不得作為行政文書申請公示送達之理由？
(A) 應為送達之處所不明者
(B) 於有治外法權人之住居所或事務所送達而無效者
(C) 應受送達人無正當理由拒絕收受送達者
(D) 於外國或境外為送達而無法以囑託送達為之者

(D)169. 有關行政送達，行政程序法之規定為何？
(A) 行政機關自行送達為唯一送達方式
(B) 對外國法人送達，一律依公示送達方法為之
(C) 郵政送達，均須掛號
(D) 應為送達之處所不明者，行政機關得依申請，准為公示送達

(B)170. 下列何者非對於當事人之送達，行政機關得依申請，准為公示送達者？
(A) 應為送達之處所不明者
(B) 應受送達人受傷
(C) 於有治外法權人之住居所或事務所為送達而無效者
(D) 於外國或境外為送達，不能依第八十六條之規定辦理或預知雖依該規定辦理而無效

(A)171. 於外國或境外為送達，而不能依囑託送達辦理，亦不能以雙掛號方式送逹者，應採取下列何種之方式？
(A) 公示送達
(B) 寄存送達
(C) 留置送達
(D) 補充送達

(D)172. 依據行政程序法規定，於有治外法權人之住居所或事務所為送達者，得囑託下列何者為之？
(A) 內政部
(B) 經濟部
(C) 僑務委員會
(D) 外交部

(A)173. 依行政程序法第九十二條之規定，行政機關就公法上具體事件所為之決定或其他公權力措施而對外直接發生法律效果之單方行政行為，為下列何種行政行為？
(A) 行政處分
(B) 行政指導
(C) 行政契約
(D) 行政規則

(D)174. 有關行政處分之要素，下列何者錯誤？
(A) 行政機關
(B) 單方行政行為
(C) 特定或可得特定之具體事件
(D) 對外間接發生法律效果(§92)

(C)175. 下列何者非屬行政處分之要素？
(A) 公法行為
(B) 行政機關之行為
(C) 具體及抽象事件所為之行為
(D) 對外直接發生法律效果

(C)176. 下行政機關就公法上具體事件所為之決定或其他公權力措施而對外直接發生法律效果之單方行政行為，稱為？
(A) 行政命令
(B) 行政行為
(C) 行政處分
(D) 行政規則

(B)177. 依照我國現行法規定，下列何者非屬行政處分之要件要素？
(A) 行政機關之單方行為
(B) 須有相對人之申請或協力
(C) 就公法上具體事件所為之決定
(D) 對外直接發生一定法律上效果

(B)178. 依行政程序法規定，有關行政處分之敘述，下列何者錯誤？
(A) 公法行為
(B) 雙方行政行為
(C) 具體事件所為之行為
(D) 得以書面、言詞或其他方式為之

(D)179. 下列有關行政處分之敘述何者錯誤？
(A) 行政處分，係指行政機關就公法上具體事件所為之決定或其他公權力措施而對外直接發生法律效果之單方行政行為
(B) 行政處分之相對人雖非特定，而依一般性特徵可得確定其範圍者，稱為一般處分
(C) 公物之設定、變更、廢止或其一般使用者，亦為行政處分
(D) 行政處分必須以書面為之

(D)180. 下列何者係屬行政程序法第92條規定之行政處分？1.國稅局對營業人漏開發票者科處罰鍰2.行政機關租用辦公場所3.交通部中央氣象局提供氣候的相關資訊及氣象報導4.政府役政機關對役男兵役體位之判定5.財政部所頒布之稅務違章案件減免處罰標準6.稅捐稽徵機關核發課稅通知書7.警察對道路交通違規者開立的罰單8.監理機關與民間某修車廠簽約，將汽車檢驗權限委託其行使9.臺中市政府就某建築指定為古蹟
(A) 1.2.3.4.5.6.7.8.9.
(B) 1.3.4.5.6.7.8.9.
(C) l.4.6.7.8.9.
(D) 1.4.6.7.9.

(C)181. 下列何者非屬行政處分？
(A) 徵兵機關對役男體位之判定
(B) 建築主管機關核發之建造執照
(C) 農業主管機關公告禽流感預防資訊
(D) 私立大學對違規學生之退學通知

(C)182. 依行政程序法規定，下列何者非屬一般處分？
(A) 十字路口紅綠燈號誌變化以管制車輛通行秩序
(B) 公路主管機關開放特定道路供民眾通行
(C) 衛生福利部公布特定食品之檢驗結果
(D) 颱風來襲前，地方政府公告特定路段禁止通行

(D)183. 下列何者非屬一般處分？
(A) 以交通號誌指揮交通
(B) 警察機關對違法集會所為解散處分
(C) 主管機關對特定土石流警戒區之民眾進行撤離處分
(D) 警察對於特定超速車輛所開之罰單

(A)184. 下列何者非屬行政處分？
(A) 衛生機關所為之自費預防接種通知單
(B) 主管機關對某土地所有權人請求依法徵收而為之拒絕決定
(C) 環保機關向違法排放污水者所發送之限期改善通知書
(D) 考選機關向應考人所寄送之錄取通知函

(C)185. 關於行政處分之敘述，下列何者錯誤？
(A) 行政處分得以言詞為之
(B) 行政處分之附款應與該處分之目的具有正當合理之關聯
(C) 行政處分係間接對外發生法律效果之單方行政行為
(D) 一般處分之相對人雖非特定，但依一般性特徵可得確定其範圍

(D)186. 下列何種行為屬於行政程序法所稱之行政處分？
(A) 財政部頒布之稅務違章案件減免處罰標準
(B) 道路交通安全的宣導
(C) 交通部中央氣象局提供的降雨量資訊及颱風預報
(D) 核發建照

(B)187. 警察於十字路口以手勢指揮交通，與警察對違規駕駛開罰單，此兩項行為依行政程序法第92條規定，下列敘述何者正確？
(A) 前者係行政處分，後者係一般處分
(B) 前者係一般處分，後者係行政處分
(C) 兩者皆為一般處分
(D) 兩者皆為行政處分

(C)188. 下列何者屬於行政程序法第92條規定之行政處分？1.機關依法律或法律授權所為之口頭警告2.政機關租用辦公場所3.交通部氣象署提供氣候的相關資訊及氣象報導4.府役政機關對役男兵役體位之判定5.國稅局對漏開發票之營業人科處罰鍰
(A) 12345
(B) 僅234
(C) 僅145
(D) 僅124

(C)189. 臺北市政府核發建照，與指定某建築物為三級古蹟，此兩項行為依行政程序法第92條規定，下列敘述何者正確？
(A) 兩者皆為行政處分
(B) 兩者皆為一般處分
(C) 前者係行政處分，後者係一般處分
(D) 前者係一般處分，後者係行政處分

(D)190. 下列何者不是行政處分？
(A) 農田水利會對會員徵收水費之決定
(B) 徵兵機關之兵役體位判定
(C) 主管機關對於人民財產認定為文化資產
(D) 國家考試測驗題標準答案之公布

(C)191. 下列何種行為非屬於行政處分？
(A) 國立大學將學生退學之決定
(B) 駁回人民所提出的社會救助申請
(C) 依照公務人員考績法將公務員年終考核評為乙等
(D) 警察命令居住於土石流警戒區之人民遷離

(D)192. 下列何者屬行政處分？
(A) 案件進度之告知
(B) 法令疑義之釋示
(C) 研究報告之提出
(D) 地價稅繳納通知

(D)193. 下列何種行為並非屬於「行政處分」？
(A) 就某建築指定為古蹟
(B) 對道路實施交通尖峰時間之調撥車道
(C) 道路交通違規的罰單
(D) 對於違反道路交通管理處罰條例之情形，主管機關訂定「統一裁罰標準」

(B)194. 下列何者係屬行政處分？
(A) 國土綜合開發計畫
(B) 變更都市細部計畫
(C) 高速鐵路興建之決定
(D) 逃漏稅之裁罰基準

(A)195. 稽徵機關對人民作為科處罰鍰之決定，其性質為何？
(A) 行政處分
(B) 行政命令
(C) 司法判決
(D) 懲戒處分

(B)196. 透過交通號誌之紅綠燈的作用，指揮在場行人或駕駛人之交通行為，其法律性質為何？
(A) 事實行為
(B) 一般處分
(C) 法規命令
(D) 行政規則

(A)197. 下列何種行為，並非行政處分？
(A) 對於違反道路交通管理處罰條例之情形訂定統一裁罰標準
(B) 對道路實施交通尖峰時間之調撥車道
(C) 古蹟之指定
(D) 行人徒步區之劃定

(D)198. 所謂「行政處分」就是行政機關？
(A) 所為之一切行為之總稱
(B) 所為之法律行為
(C) 就具體事實所為之公的意思表示及其他精神作用
(D) 就公法上具體事件所為決定，而對外直接發生法律上效果之單方行政行為

(C)199. 國慶日將某路段區域暫時實施交通管制之行為係：
(A) 法規命令
(B) 行政規則
(C) 行政處分
(D) 事實行為

(B)200. 下列何者為行政處分？
(A) 國土綜合開發計畫
(B) 變更都市細部計畫
(C) 高速鐵路興建之決定
(D) 企業逃漏稅之處罰基準

(D)201. 下列何者非屬行政處分？
(A) 准許新藥上市
(B) 拒絕核發
(C) 簽證營業許可
(D) 就業指導

(C)202. 行政機關對人民依法作成科處罰鍰之決定，其性質為何？
(A) 事實行為
(B) 行政命令
(C) 行政處分
(D) 司法判決

(D)203. 下列何者屬於應適用行政程序法程序規定的事項？
(A) 鄉鎮市公所之調解委員會所受理之民事事件之調解程序
(B) 檢察官對於刑事案件之偵查程序
(C) 海岸巡防機關依國家安全法之規定，對航行境內之漁船所實施之檢查程序
(D) 戶政機關所受理之人民申請更改姓名的事件

(A)204. 役男兵役體位之判定，為何種行政行為？
(A) 行政處分
(B) 一般處分
(C) 陳情
(D) 行政規則

(C)205. 對於「行政處分」之敘述，下列何者錯誤？
(A) 行政處分係指行政機關就公法上具體事件所為之決定或其他公權力措施
(B) 行政機關作成行政處分有裁量權時，得為附款
(C) 行政處分係僅發生公法上法律效果之行為
(D) 行政處分係行政機關之單方行為

(B)206. 封閉或禁止使用某坍方道路之公告，性質為：
(A) 行政命令
(B) 一般處分
(C) 行政指導
(D) 行政強制

(B)207. 下列何者之法律性質屬於「行政處分
(A) 財政部依據稅捐稽徵法之授權而訂定「稅捐稽徵法施行細則」
(B) 稅捐稽徵機關核發課稅通知書
(C) 稅捐稽徵機關辦理宣導納稅的抽獎活動
(D) 稅捐稽徵機關宣導人民盡量提早申報所得稅

(D)208. 下列何者不屬於行政程序法第92條第2項所定義的一般處分？
(A) 交通號誌指揮交通
(B) 命集會遊行民眾解散
(C) 下令撲殺某地區有疫情之豬隻
(D) 高速公路測速照相之設置

(A)209. 下列何者並非行政處分之成立要件？
(A) 處分機關有管轄權
(B) 直接發生法律效果
(C) 對外發生法律效果
(D) 單方行為

(C)210. 下列何者非行政處分之要素？
(A) 單方行政行為
(B) 就公法上具體事件所為之決定
(C) 發生對外直接發生事實效果之行為
(D) 公權力措施［§92］

(D)211. 下列何者非一般處分？
(A) 都市計畫之變更
(B) 公物之設定
(C) 紅綠燈交通號誌
(D) 委託某一民間團體行使公權力之公告

(C)212. 下列各種行政行為當中，何者之法律性質屬行政處分？
(A) 行政機關發布之超大豪雨特報
(B) 行政機關依法律授權所發布之施行細則
(C) 縣市政府戶政事務所所為回復原住民身分之核准
(D) 行政機關對於汽機車怠速發出之勸導單

(A)213. 下列何者非屬行政程序法第92條第2項所規定之「一般處分」？
(A) 警察將違規停放車輛移置到適當處所
(B) 十字路口紅燈
(C) 交通警察於國慶日封閉總統府周邊道路並進行交通管制
(D) 將道路停車格塗銷，並改劃為紅線禁止停車

(C)214. 下列何者為行政處分？
(A) 總統任命行政院院長
(B) 公務員懲戒委員會所為懲戒議決書
(C) 行政機關對於政府採購案作成特定廠商擁有優先議價權資格之決定
(D) 颱風警報之發布

(C)215. 下列何者非行政處分？
(A) 地層危險而命某一村落之住戶立刻遷移
(B) 對參與某一示威之多數人命令解散
(C) 擬訂都市計畫
(D) 警察以手勢或號誌指揮車輛之駕駛人

(C)216. 下列何者為一般處分？
(A) 建築執照
(B) 低收入戶證明
(C) 禁止停車之交通標線
(D) 徵兵檢查通知書

(D)217. 下列何者非行政處分？
(A) 確認兵役體位為乙等
(B) 核發自耕能力證明
(C) 行政院撤銷直轄市政府延期辦理里長選舉之決定
(D) 公立大學公布學期行事曆

(D)218. 下列何者屬於一般處分？
(A) 上級機關對下級機關所為之裁併處分
(B) 行政機關所為之釋示
(C) 鄉公所之清運垃圾
(D) 古蹟之指定

(D)219. 下列何者為行政處分？
(A) 行政機關出售國有土地
(B) 行政決定前之擬稿
(C) 行政機關對流行病之擴散傳染提出警告
(D) 地政機關之登記行為

(D)220. 下列何者為行政處分？
(A) 交通主管機關回覆檢舉人，認定其檢舉他人違規停車之事項不成立
(B) 人民向環保主管機關反映國有地遭傾倒廢土，向人民回報處理情形
(C) 建築主管機關拆除違章建築時，將所有權人之財產清理移置至室外
(D) 人民有數次行為被裁罰，衛生主管機關合併計算罰鍰總額後命缴納

(D)221. 下列何者非行政處分？
(A) 警察指揮交通
(B) 劃定行人徒步區
(C) 禁止停車標線
(D) 警告性之交通標誌

(C)222. 下列何者為行政處分？
(A) 行政機關所為之鑑定行為
(B) 行政機關就某一事件之處理經過通知當事人
(C) 颱風來時，鄉公所命令某村居民全數撤離
(D) 警察清理車禍現場［§92］

(D)223. 下列何者非屬一般處分之性質？
(A) 警察下令違法集會之群眾解散
(B) 指定某建築物為古蹟
(C) 行人徒步區之劃定
(D) 交通部中央氣象局颱風預報

(C)224. 下列何者非行政處分？
(A) 依律師法所為之律師登錄
(B) 交通警察指揮交通之手勢
(C) 主管機關對人民函詢事件辦理進度之答覆
(D) 主管機關對古蹟之指定

(C)225. 下列何者為行政處分之法律特性？
(A) 行政處分只要有瑕疵即不生法律效力
(B) 行政處分之相對人未提起救濟即生存續力，行政機關不得依職權撤銷
(C) 具有執行力之行政處分本身即具有執行名義
(D) 人民對於已不得爭訟之行政處分不得請求重新進行行政程序

(D)226. 下列何者並非行政處分？
(A) 兵役體位之判定
(B) 大學教師升等通過與否之決定
(C) 都市計畫之特定區域個別變更
(D) 都市针畫之定期通盤檢討變更

(D)227. 下列何者不是行政處分？
(A) 社會救助申請之核定
(B) 計程車駕駛人職業登記證之吊扣
(C) 公保給付請求之駁回
(D) 公立學校教師之聘用

(C)228. 下列何者屬行政處分之性質？
(A) 全民健保特約
(B) 土地登記規則
(C) 依稅法對某乙罰鍰應納稅額二倍
(D) 高齡化社會居家服務之宣導

(A)229. 關於行政處分之敘述，下列何者正確？
(A) 對人民權利義務直接產生影響之決定
(B) 抽象性之規範
(C) 行政機關與相對人合意之決定行為
(D) 對公務員之申誡

(B)230. 下列何者屬行政處分？
(A) 行政機關首長指示下屬公務員採購辦公室設備
(B) 行政機關首長將下屬公務員考績列丙等
(C) 行政機關首長將下屬公務員調派至同一機關內其他單位
(D) 行政機關首長核定下屬公務員出國考察

(D)231. 下列何者非行政處分之形式合法要件？
(A) 處分機關有管轄權
(B) 踐行行政程序
(C) 附具理由
(D) 裁量無瑕疵

(B)232. 下列何者|非屬一般處分|?
(A) 警察機關命非法之集會遊行解散
(B) 主管機關命某私有水庫之所有人當水庫水位達一定高度時，應即開閘門洩放
(C) 交通警察以手勢指揮某一道路之駕駛人或行人通行
(D) 主管機關公告某新設道路開放通行

(C)233. 依行政程序法規定，下列何者非屬一般處分？
(A) 十字路口紅綠燈號誌變化以管制車輛通行秩序
(B) 公路主管機關開放特定道路供民眾通行
(C) 衛生福利部公布特定食品之檢驗結果
(D) 颱風來襲前，地方政府公告特定路段禁止通行

(C)234. 下列何者並非行政處分？
(A) 徵兵機關對役男體位之判定
(B) 私立大學對學生之退學通知
(C) 農業主管機關公告禽流感預防資訊
(D) 主管機關拒絕人民社會救助之申請

(C)235. 公物之設定或廢止行為，在行政程序法上屬於下列何者？
(A) 行政指導
(B) 行政契約
(C) 行政處分
(D) 行政計畫

(C)236. 依行政程序法規定，有關行政處分時，得為附款之敘述，下列何者錯誤？
(A) 附款保留未來行政處分之廢止權
(B) 附款保留行政機關於行政處分後保留事後附加、變更或補充負擔之權限
(C) 行政機關不論有裁量權(裁量處分)或無裁量權(羈束處分)於作成行政處分時，皆無條件得為附款
(D) 附款不得違背行政處分之目的，並應與該行政處分之目的具有正當合理之關聯

(D)237. 依現行行政程序法之規定，下列何者非行政處分之附款？
(A) 期限或條件
(B) 負擔或保留負擔之事後附加或變更
(C) 保留行政處分之廢止權
(D) 既有法律效果之註記

(D)238. 行政處分之附款，不包括下列何者？
(A) 條件
(B) 期限
(C) 保留行政處分之廢止權
(D) 規費之收取

(C)239. 下列何者非行政程序法明文規定之行政處分附款類型？
(A) 條件
(B) 期限
(C) 修正之負擔
(D) 保留廢止權

(C)240. 下列何者非行政程序法明文規定之行政處分附款類型？
